"id_meta","domain","analysis_label","study","is_meta","is_rct","study_design","outcome","population","rr","rr_lower","rr_upper","tau_sq","p","i_sq","effect_measure","rr_order","rr_lower_order","rr_upper_order","rob","rob_original","ab","ab_abbrev","ab_footnote","n_events_vax","n_vax","mean_vax","lower_vax","upper_vax","sd_vax","se_vax","n_events_unvax","n_unvax","mean_unvax","lower_unvax","upper_unvax","sd_unvax","se_unvax","te","lower","upper","notes"
53,"Immunogenicity","Anti-PT Ab (infant blood, age 5 mo) - RCTs","Nakabembe 2025a",0,1,"RCT","Anti-PT Ab (infant blood, age 5 mo)","Infant",0.191780822,0.083954673,0.438092154,,,,"ROM",2,2,2,"Low","Low","Anti-pertussis toxin","PT",,,40,16.8,10.7,26.1,,,,41,87.6,43.7,175.6,,,-1.651402112,-2.47747823,-0.825325993,
53,"Immunogenicity","Anti-PT Ab (infant blood, age 5 mo) - RCTs","Nakabembe 2025b",0,1,"RCT","Anti-PT Ab (infant blood, age 5 mo)","Infant",0.166548547,0.083534266,0.332060362,,,,"ROM",1,1,1,"Low","Low","Anti-pertussis toxin","PT",,,50,23.5,15.6,35.3,,,,50,141.1,80.9,246.1,,,-1.792468438,-2.482498362,-1.102438513,
53,"Immunogenicity","Anti-PT Ab (infant blood, age 5 mo) - RCTs","Haidara 2024",0,1,"RCT","Anti-PT Ab (infant blood, age 5 mo)","Infant",0.257824143,0.127515683,0.521295007,,,,"ROM",3,3,3,"Low","Low","Anti-pertussis toxin","PT",,,63,17.3,12.8,23.4,,,,32,67.1,35.5,126.7,,,-1.355477542,-2.05951592,-0.651439165,
53,"Immunogenicity","Anti-PT Ab (infant blood, age 5 mo) - RCTs","Hoang 2016",0,1,"RCT","Anti-PT Ab (infant blood, age 5 mo)","Infant",1.044776119,0.777486921,1.40395563,,,,"ROM",4,4,4,"Unclear","Unclear","Anti-pertussis toxin","PT",,,35,70,58,84,,,,35,67,53,84,,,0.043802623,-0.251688457,0.339293702,
54,"Immunogenicity","Anti-FHA Ab (infant blood, birth) - Observational studies (unadjusted)","Lima 2019",0,0,"Observational (unadjusted)","Anti-FHA Ab (infant blood, birth)","Infant",10.26791277,7.159474102,14.72594652,,,,"ROM",6,7,6,"Critical","Critical","Anti-filamentous hemagglutinin","FHA",,,66,329.6,251.1,432.8,,,,101,32.1,25.3,40.6,,,2.329023768,1.968436529,2.689611007,
54,"Immunogenicity","Anti-FHA Ab (infant blood, birth) - Observational studies (unadjusted)","Maertens 2022a",0,0,"Observational (unadjusted)","Anti-FHA Ab (infant blood, birth)","Infant",8.566744731,5.73609787,12.79425786,,,,"ROM",5,5,5,"Moderate","Moderate","Anti-filamentous hemagglutinin","FHA",,,100,365.8,307.11,435.7,,,,17,42.7,29.76,61.26,,,2.147887816,1.746779166,2.548996466,
54,"Immunogenicity","Anti-FHA Ab (infant blood, birth) - Observational studies (unadjusted)","Maertens 2022b",0,0,"Observational (unadjusted)","Anti-FHA Ab (infant blood, birth)","Infant",4.94419566,1.91205416,12.78471668,,,,"ROM",3,2,4,"Moderate","Moderate","Anti-filamentous hemagglutinin","FHA",,,54,143.53,110.99,185.61,,,,6,29.03,11.63,72.44,,,1.598214295,0.648178141,2.548250448,
54,"Immunogenicity","Anti-FHA Ab (infant blood, birth) - Observational studies (unadjusted)","Abu Raya 2014a",0,0,"Observational (unadjusted)","Anti-FHA Ab (infant blood, birth)","Infant",11.12280702,6.45843256,19.15586093,,,,"ROM",7,6,7,"Unclear","Unclear","Anti-filamentous hemagglutinin","FHA",,,61,190.2,160.9,224.8,,,,20,17.1,10.2,28.7,,,2.408997687,1.865386651,2.952608723,
54,"Immunogenicity","Anti-FHA Ab (infant blood, birth) - Observational studies (unadjusted)","Maertens 2016",0,0,"Observational (unadjusted)","Anti-FHA Ab (infant blood, birth)","Infant",5.090909091,3.58869777,7.221938717,,,,"ROM",4,4,3,"Unclear","Unclear","Anti-filamentous hemagglutinin","FHA",,,58,140,109,180,,,,41,27.5,21.5,35,,,1.627456418,1.277789399,1.977123437,
54,"Immunogenicity","Anti-FHA Ab (infant blood, birth) - Observational studies (unadjusted)","Healy 2013",0,0,"Observational (unadjusted)","Anti-FHA Ab (infant blood, birth)","Infant",1.2,0.726304743,1.98263885,,,,"ROM",1,1,1,"High","High","Anti-filamentous hemagglutinin","FHA",,,19,87.6,56.3,136.4,,,,86,73,57.6,92.6,,,0.182321557,-0.319785596,0.68442871,
